gameLabel,source,target,weight
BanG Dream,UCl2TwIIN0CTg0nk4vA818Qw,UCEsc9MCuhv4B71JzEeZnegQ,2
BanG Dream,UClZevZykrP6UDTgsw_2hR6A,UCPoODskoSUr7fNJ85ywo7aw,2
BanG Dream,UClZevZykrP6UDTgsw_2hR6A,UCj7lNmPnalu92q6hrROBOkA,2
BanG Dream,UClZevZykrP6UDTgsw_2hR6A,UCri1pe-gJXYXLiNDD1t5wuw,2
BanG Dream,UCm9TMUmlLT8wC0TtQjpDD_g,UCsCaF6H613kkLK4h6pFpJwA,2
BanG Dream,UCmRhFi5t1qXrF09HJgxj9KQ,UCf1JYMNiWE6uY1PtqJOC_Jg,2
BanG Dream,UCmr8QzLkfp9Y5x8rJ580R8A,UCW3aaLopLOavp8Wxp6i7tzw,2
BanG Dream,UCo4TV3Z8k0Le6HZO86kl7ZQ,UCpQaGN2Bihkb-wnKGp3eU1A,2
BanG Dream,UCof0ACOG2TxGU-M4IA89Yhw,UC69NIIWxMi2A26_cC5G_e4w,2
BanG Dream,UCos5THpfuJcMSndVLjkTsgQ,UCa4DDpUU45c2eunFUoLXzRA,2
BanG Dream,UCrvWPFaTe7qndBQKwx5pPDg,UCk7RHeLeMB54vHOrziTVxhg,2
BanG Dream,UCs8XYTx5DAWvCx1EZ51whtg,UC7eBjzw2-9-gXsR3LFBo_EQ,2
BanG Dream,UCsJZVjd7djA6Mvf8cCCmgeQ,UCy9GcmObccgNtKFRvMc-kIw,2
BanG Dream,UCt3gx6HHbSsggQxEUZXbb5Q,UCyX-UO4uyRjQatswaG_gNQQ,2
BanG Dream,UCt6by3wqSWXJQRmOeFPXNyQ,UC12JpOfYBWJ9FNbjlpvfLiw,2
BanG Dream,UCt6by3wqSWXJQRmOeFPXNyQ,UC7iORab9I_-iRD2uC-ElwnQ,2
BanG Dream,UCt8o7AAq0J6u29xHTA0aFHQ,UCjLC3DShK0B_yKVZK8lNITg,2
BanG Dream,UCu3ouIcReSB5xD_QQ7eGslw,UCbyWRicYhR55L-2MtOUPL6g,2
BanG Dream,UCuD-l5hwgruCNpPTg1GJ8ng,UCFIMk070zMO1xofRqrM7p2Q,2
BanG Dream,UCuLurUWbNP0mTXDz5ECqDXQ,UCp3uSFDDG_ETAxS4YY6brkA,2
BanG Dream,UCuPI6Talrpy9QXuRJIoV6MA,UCn6sPs9yZtri8G-5e9t_Nxw,2
BanG Dream,UCuaBSkK0IqVdhP_tvzE9R9A,UC8tfNHmU8-GyIaIMNWYlUpQ,2
BanG Dream,UCv2WxlD6raaSinmvHmvFMQg,UCn6sPs9yZtri8G-5e9t_Nxw,2
BanG Dream,UCvLemWIexrB9h_PdaJarutg,UCISdbFFNTIdjc21425aA0IQ,2
BanG Dream,UCvrototA6bMQTnWfWVQ0Mmw,UCn6sPs9yZtri8G-5e9t_Nxw,2
BanG Dream,UCw-sCN6WlAMxy1e8ScM0nZQ,UCrh7Zw6yBzK6mpRBQw2BVFw,2
BanG Dream,UCwB8A26C_aJJksHrLkovEOw,UC5vsgyyPm7DeZyszxAItPwA,2
BanG Dream,UCwS4hoKjHwl8fFZv1-7tqfQ,UChhpOQM4SCvKw5IRCG3BJzA,2
BanG Dream,UCweVPSxxViEobohji2AsIKg,UCLbLwraZ5Qpo-Twvt0d2TWA,2
BanG Dream,UCxgb7o3XASolWZNa_msv9Sw,UCtT4odrMTJmYFChjV0TOMsQ,2
BanG Dream,UCy6bmgBm_boItdu7c9i29ag,UCEsc9MCuhv4B71JzEeZnegQ,2
BanG Dream,UCyTav3pTFgpykKntO7gauvA,UCg3P6ZY45OuIh8tXzy7I61g,2
BanG Dream,UCyZ3zvhWD0QFDEIEhSoVt8Q,UCwlMtqjl_pKNwrcf-3ac0Ow,2
BanG Dream,UCz9l1nx4g7iezUIskP5glrQ,UCulzAY3Rz4K3_sbxV5Dt27A,2
BanG Dream,UCzxs-3cvvqWDX_3hXuaoXTg,UCQnDIY_QQRG2KqoQqabPsfg,2
BanG Dream,UC--i1tr2xp7DUN_YdC4O9iA,UCMXlpOxHK74Do_GIuUIqRWA,1
BanG Dream,UC-2KIFVlXlZkM6_whR4U92Q,UCmfGK0ESkYmFtMC40uCdaTg,1
BanG Dream,UC-7GRJOqhWbxI79EKXaRVIg,UCWTdY6U_oi5lg2Mf97Wsajw,1
BanG Dream,UC-80W8JhB21JdrhMrgUIBNw,UCKEJlYoDG4MrxaspYajsWEQ,1
BanG Dream,UC-8FdI6BVrCwdohAHZLITow,UCDPgdfZVjIg0Zf8Rmoyn1Kg,1
BanG Dream,UC-BdIdZ7i0-tfkl3BhMByZQ,UCOZLELQd7IBmtqRSv6fs_nA,1
BanG Dream,UC-EXECTxpkOiDvsmOTC-Kqw,UCQympBS8g2lVECl-Y7mVfbA,1
BanG Dream,UC-JUd1PtR69LUuxr10pHPjA,UCRSDCAQunpqBUPDziMboZBQ,1
BanG Dream,UC-KQYUuD2e_yWK7hOnYp8Ug,UCZWDLFpiyZ-GtFrLIhpkEUw,1
BanG Dream,UC-KaBRKcbayvY_qe09k7tNA,UCO-EpKrZ2bxEO44jRd3Xndg,1
BanG Dream,UC-LEmIG-Pis0SoENKCszUmQ,UCsFnrVrZLHmTAi5IS_9CPQw,1
BanG Dream,UC-MbeqVVdhtBj2jNzfrEx4Q,UCulzAY3Rz4K3_sbxV5Dt27A,1
BanG Dream,UC-NX2p0RLXQUAFJUj6L6JKw,UCQnDIY_QQRG2KqoQqabPsfg,1
